Coordinates
"[-28.715, 153.5844444]"
"[-28.701705750000002, 153.61384702088105]"
"[37.832013950000004, 14.824301685777822]"
"[-33.9036232, 151.26829232543662]"
"[40.6526006, -73.9497211]"
"[-17.9566909, 122.2240181]"
"[-16.5052204, 122.8573372]"
"[44.625339749999995, -76.31670616169919]"
"[44.625339749999995, -76.31670616169919]"
"[-32.617282, 152.32007141302046]"
"[-28.538885, 153.5483811]"
"[28.8833061, -95.3785523]"
"[45.2919405, 14.561628131392384]"
"[54.4981293, -7.948036670359105]"
"[42.2885656, 18.8419505]"
"[-34.3181974, 18.4618681]"
"[-5.25, 154.633333]"
"[-33.3267797, 115.636698]"
"[32.1933234, -80.69492145170693]"
"[-25.3933294, 151.6928351]"
"[-33.644499, 115.3488754]"
"[29.822421, -81.2713416002994]"
"[34.41760105, -119.64898168655026]"
"[35.2581815, -75.52331203881798]"
"[-28.6483333, 153.6177778]"
"[-28.6483333, 153.6177778]"
"[-27.332647, 153.0663192]"
"[-17.9328115, 122.2136937]"
"[21.1577882, -86.8455342]"
"[-22.8804369, -42.0189227]"
"[18.0870192, -67.1459114]"
"[11.433417949999999, 119.50191606697983]"
"[-8.18996475, -36.70331806365017]"
"[35.2905294, 25.438982642417667]"
"[36.5297438, -6.2928976]"
"[8.4756417, 124.6421532]"
"[-16.9186011, 145.77365282675595]"
"[16.83132545, -99.90443792951307]"
"[32.078966199999996, -80.86201906551977]"
"[-23.9748908, 151.0545484]"
"[26.7214836, -81.692193]"
"[-26.7981633, 153.1354434]"
"[46.2018756, -79.786553]"
"[14.4638744, 120.9090364]"
"[21.1617854, -86.8510468]"
"[-20.7676161, -45.2763777]"
"[28.1341798, -80.5786607]"
"[-2.8175757, -171.7119645052108]"
"[-21.0331104, 55.221135]"
"[-21.0178679, 55.2352379]"
"[28.45077, -80.52662]"
"[28.45077, -80.52662]"
"[45.3059797, -60.939572]"
"[41.7988074, -69.9960134711573]"
"[-38.0231747, 140.5906436]"
"[43.5931434, -70.2289333]"
"[42.8825, -9.2722222]"
"[35.2272731, -75.5314858]"
"[38.77185755, -75.10434103498852]"
"[-37.5045, 149.977]"
"[-35.6061685, 138.1053486]"
"[45.2167126, -123.9803347]"
"[45.2167126, -123.9803347]"
"[45.2167126, -123.9803347]"
"[-16.3889439, 122.9253298]"
"[34.6001462, -76.5363783]"
"[34.6054423, -76.536312]"
"[-49.4947753, 69.8183302]"
"[-27.0294705, 153.46574]"
"[-33.93779205, 25.599408729036078]"
"[-34.3573947, 18.4977883]"
"[-34.02902055, 25.700680140439523]"
"[25.1329, -81.0273]"
"[29.7447427, -85.3954358]"
"[-34.208091, 24.832673]"
"[-33.928992, 18.417396]"
"[-28.1273367, 32.5570283]"
"[33.7226892, -117.7771296]"
"[36.9762927, -121.9540577]"
"[37.242806, 15.2580231]"
"[41.4462018, 12.6295769]"
"[26.92914025, -80.07059498915211]"
"[13.087425, -59.6154379]"
"[36.5552656, -121.9232785]"
"[-32.121607, 115.66253476078504]"
"[-24.8826131, 113.6576486]"
"[34.0351727, -77.8935966]"
"[34.0351727, -77.8935966]"
"[-28.0130496, 153.3802857]"
"[-38.077481750000004, 145.123051255708]"
"[33.562011, -117.7230105]"
"[26.6780828, -77.2673598]"
"[26.6780828, -77.2673598]"
"[30.331030849999998, -87.1426163651843]"
"[39.9860347, -0.0377354]"
"[51.671214899999995, -4.694761660581854]"
"[24.3385, -75.61499318805444]"
"[30.2265886, -89.103092]"
"[55.5481127, -133.2923757027654]"
"[37.5023612, 15.0873718]"
"[-26.0087094, 32.5608836]"
"[-36.5823592, 175.7763078148798]"
"[-33.1122864, 151.6449973]"
"[34.9504422, -76.3310261]"
"[-32.1483706, 134.09672159341682]"
"[-32.39144925, 152.5204819357471]"
"[42.7769603, 13.4736696]"
"[35.888361, -5.304138]"
"[32.7876012, -79.9402728]"
"[32.763788, -79.8973093]"
"[-43.912704950000006, -176.47502902781758]"
"[33.38034745, 126.54825445912047]"
"[42.38642195, -71.01949822352273]"
"[13.0836939, 80.270186]"
"[28.39213565, -80.59698737553302]"
"[39.080895999999996, -84.32186744366045]"
"[39.2028931, -76.0624927]"
"[-34.8801321, 118.40001739573384]"
"[46.036654850000005, -86.61061372757752]"
"[-24.908656, 34.1901627]"
"[-18.46821965, -70.30297442521794]"
"[-32.8264078, 28.1187685]"
"[-33.8403156, 151.2540251]"
"[-43.530955, 172.6366455]"
"[22.1457501, -80.4526242]"
"[-32.8297222, 28.1105556]"
"[-32.9948477, 27.8325905]"
"[-31.9526438, 115.8587898]"
"[-22.1081162, 149.5287402]"
"[-30.2402778, 30.7822222]"
"[-29.4319527, 153.3653836]"
"[-29.6027428, 153.3308773194222]"
"[-29.207293, 152.59221]"
"[48.70101115, -122.76458781945375]"
"[-28.6397283, 153.62735815483552]"
"[27.9774736, -82.8279313]"
"[41.5051613, -81.6934446]"
